Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Ukraine,UKR,2024,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,104326000000
Ukraine,UKR,2023,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,96405000000
Ukraine,UKR,2022,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,87918000000
Ukraine,UKR,2021,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,104004000000
Ukraine,UKR,2020,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,71714000000
Ukraine,UKR,2019,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,87438000000
Ukraine,UKR,2018,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,81136000000
Ukraine,UKR,2017,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,70379000000
Ukraine,UKR,2016,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,58399000000
Ukraine,UKR,2015,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,52216000000
Ukraine,UKR,2014,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,77076000000
Ukraine,UKR,2013,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,108153000000
Ukraine,UKR,2012,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,110909000000
Ukraine,UKR,2011,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,103078000000
Ukraine,UKR,2010,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,76332000000
Ukraine,UKR,2009,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,61101000000
Ukraine,UKR,2008,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,103807000000
Ukraine,UKR,2007,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,73858000000
Ukraine,UKR,2006,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,54479000000
Ukraine,UKR,2005,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,43695000000
Ukraine,UKR,2004,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,35515000000
Ukraine,UKR,2003,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,26865000000
Ukraine,UKR,2002,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,20932000000
Ukraine,UKR,2001,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,20216000000
Ukraine,UKR,2000,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,18007000000
Ukraine,UKR,1999,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,15214000000
Ukraine,UKR,1998,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,18791000000
Ukraine,UKR,1997,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,22693000000
Ukraine,UKR,1996,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,20523000000
Ukraine,UKR,1995,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,17959000000
Ukraine,UKR,1994,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,17809000000
Ukraine,UKR,2024,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-15142000000
Ukraine,UKR,2023,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-9564000000
Ukraine,UKR,2022,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,7976000000
Ukraine,UKR,2021,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-3882000000
Ukraine,UKR,2020,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,5267000000
Ukraine,UKR,2019,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-4124000000
Ukraine,UKR,2018,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-6432000000
Ukraine,UKR,2017,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-3473000000
Ukraine,UKR,2016,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1866000000
Ukraine,UKR,2015,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,5035000000
Ukraine,UKR,2014,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-4596000000
Ukraine,UKR,2013,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-16518000000
Ukraine,UKR,2012,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-14335000000
Ukraine,UKR,2011,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-10233000000
Ukraine,UKR,2010,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-3016000000
Ukraine,UKR,2009,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1736000000
Ukraine,UKR,2008,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-12781000000
Ukraine,UKR,2007,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-5251000000
Ukraine,UKR,2006,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1619000000
Ukraine,UKR,2005,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2534000000
Ukraine,UKR,2004,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,6911000000
Ukraine,UKR,2003,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2901000000
Ukraine,UKR,2002,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,3180000000
Ukraine,UKR,2001,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1324000000
Ukraine,UKR,2000,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1342000000
Ukraine,UKR,1999,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1658000000
Ukraine,UKR,1998,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1296000000
Ukraine,UKR,1997,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1335000000
Ukraine,UKR,1996,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1184000000
Ukraine,UKR,1995,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1152000000
Ukraine,UKR,1994,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1163000000
Ukraine,UKR,2023,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,16639944909
Ukraine,UKR,2022,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,15600399212
Ukraine,UKR,2021,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,913536241
Ukraine,UKR,2020,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,741320135
Ukraine,UKR,2019,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,714631749
Ukraine,UKR,2018,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,783497572
Ukraine,UKR,2017,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,724665709
Ukraine,UKR,2016,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,800221392
Ukraine,UKR,2015,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,733005873
Ukraine,UKR,2014,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,818134713
Ukraine,UKR,2013,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,465158857
Ukraine,UKR,2012,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,433982265
Ukraine,UKR,2011,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,403158000
Ukraine,UKR,2010,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,351770000
Ukraine,UKR,2009,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,391052670
Ukraine,UKR,2008,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,401988140
Ukraine,UKR,2007,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,298268800
Ukraine,UKR,2006,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,229493467
Ukraine,UKR,2005,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,200591017
Ukraine,UKR,2023,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,921288073
Ukraine,UKR,2022,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,657797951
Ukraine,UKR,2021,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,381021578
Ukraine,UKR,2020,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,347719084
Ukraine,UKR,2019,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,397024404
Ukraine,UKR,2018,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,370166560
Ukraine,UKR,2017,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,366137965
Ukraine,UKR,2016,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,348364364
Ukraine,UKR,2015,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,265238984
Ukraine,UKR,2014,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,309227184
Ukraine,UKR,2013,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,177738834
Ukraine,UKR,2012,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,198258206
Ukraine,UKR,2011,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,196360000
Ukraine,UKR,2010,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,252400000
Ukraine,UKR,2009,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,213830000
Ukraine,UKR,2008,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,217520000
Ukraine,UKR,2007,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,127350000
Ukraine,UKR,2006,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,260810000
Ukraine,UKR,2005,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,213500000
Ukraine,UKR,2024,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,65796000000
Ukraine,UKR,2023,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,63596000000
Ukraine,UKR,2022,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,70666000000
Ukraine,UKR,2021,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,95500000000
Ukraine,UKR,2020,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,72885000000
Ukraine,UKR,2019,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,76851000000
Ukraine,UKR,2018,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,71052000000
Ukraine,UKR,2017,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,63283000000
Ukraine,UKR,2016,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,52897000000
Ukraine,UKR,2015,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,53648000000
Ukraine,UKR,2014,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,70939000000
Ukraine,UKR,2013,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,89486000000
Ukraine,UKR,2012,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,93598000000
Ukraine,UKR,2011,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,89137000000
Ukraine,UKR,2010,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,70341000000
Ukraine,UKR,2009,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,56704000000
Ukraine,UKR,2008,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,87899000000
Ukraine,UKR,2007,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,65068000000
Ukraine,UKR,2006,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,49687000000
Ukraine,UKR,2005,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,43384000000
Ukraine,UKR,2004,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,39850000000
Ukraine,UKR,2003,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,27582000000
Ukraine,UKR,2002,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,22190000000
Ukraine,UKR,2001,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,20084000000
Ukraine,UKR,2000,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,18501000000
Ukraine,UKR,1999,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,16166000000
Ukraine,UKR,1998,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,16713000000
Ukraine,UKR,1997,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,20513000000
Ukraine,UKR,1996,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,18830000000
Ukraine,UKR,1995,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,16335000000
Ukraine,UKR,1994,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,16099000000
Ukraine,UKR,2024,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4018000000
Ukraine,UKR,2023,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4572000000
Ukraine,UKR,2022,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,221000000
Ukraine,UKR,2021,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,7954000000
Ukraine,UKR,2020,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,304000000
Ukraine,UKR,2019,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,5796000000
Ukraine,UKR,2018,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4975000000
Ukraine,UKR,2017,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,3680000000
Ukraine,UKR,2016,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4128000000
Ukraine,UKR,2015,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-198000000
Ukraine,UKR,2014,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,847000000
Ukraine,UKR,2013,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4509000000
Ukraine,UKR,2012,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,8175000000
