Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Ukraine,UKR,2018,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,1.1
Ukraine,UKR,2016,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,1.1
Ukraine,UKR,2014,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,1.1
Ukraine,UKR,2012,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,1.8
Ukraine,UKR,2010,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2.5
Ukraine,UKR,2008,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,3.2
Ukraine,UKR,2006,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,3.9
Ukraine,UKR,2004,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,4.6
Ukraine,UKR,2002,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,5
Ukraine,UKR,2000,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,5
Ukraine,UKR,2020,Income share held by second 20%,SI.DST.02ND.20,14.3
Ukraine,UKR,2019,Income share held by second 20%,SI.DST.02ND.20,14.1
Ukraine,UKR,2018,Income share held by second 20%,SI.DST.02ND.20,14.1
Ukraine,UKR,2017,Income share held by second 20%,SI.DST.02ND.20,14
Ukraine,UKR,2016,Income share held by second 20%,SI.DST.02ND.20,14.4
Ukraine,UKR,2015,Income share held by second 20%,SI.DST.02ND.20,14.3
Ukraine,UKR,2014,Income share held by second 20%,SI.DST.02ND.20,14.6
Ukraine,UKR,2013,Income share held by second 20%,SI.DST.02ND.20,14.5
Ukraine,UKR,2012,Income share held by second 20%,SI.DST.02ND.20,14.3
Ukraine,UKR,2011,Income share held by second 20%,SI.DST.02ND.20,14.4
Ukraine,UKR,2010,Income share held by second 20%,SI.DST.02ND.20,14.3
Ukraine,UKR,2009,Income share held by second 20%,SI.DST.02ND.20,14.3
Ukraine,UKR,2008,Income share held by second 20%,SI.DST.02ND.20,13.9
Ukraine,UKR,2007,Income share held by second 20%,SI.DST.02ND.20,13.8
