market_id,market,countryiso3,admin1,admin2,latitude,longitude
1295,National Average,UKR,,,,
1858,Cherkasy,UKR,Cherkaska,Cherkaska,49.44,32.06
1859,Chernihiv,UKR,Chernihivska,Chernihivska,51.5,31.29
1860,Chernivtsi,UKR,Chernivetska,Chernivetska,48.29,25.94
1861,Dnipropetrovsk,UKR,Dnipropetrovska,Dniprovska,48.46,35.05
1862,Donetsk,UKR,Donetska,Donetska,48.02,37.8
1863,Ivano-Frankivsk,UKR,Ivano-Frankivska,Ivano-Frankivska,48.92,24.71
1864,Kharkiv,UKR,Kharkivska,Kharkivska,49.99,36.23
1865,Kherson,UKR,Khersonska,Khersonska,46.64,32.62
1866,Khmelnytskiy,UKR,Khmelnytska,Khmelnytska,49.42,26.99
1867,Kirovohrad,UKR,Kirovohradska,Kirovohradska,48.51,32.26
1868,m. Sevastopol,UKR,Sevastopol,Sevastopolska,44.62,33.53
1869,Kyiv city,UKR,Kyivska,Kyivska,50.45,30.52
1870,Luhansk,UKR,Luhanska,Luhanska,48.57,39.31
1871,Lviv,UKR,Lvivska,Lvivska,49.84,24.03
1872,Mykolaiv,UKR,Mykolaivska,Mykolaivska,46.98,31.99
1873,Odesa,UKR,Odeska,Odeska,46.48,30.72
1874,Poltava,UKR,Poltavska,Poltavska,49.59,34.55
1875,Rivne,UKR,Rivnenska,Rivnenska,50.62,26.25
1876,Sumy,UKR,Sumska,Sumska,50.91,34.8
1877,Ternopyl,UKR,Ternopilska,Ternopilska,49.55,25.59
1878,Vinnytsya,UKR,Vinnytska,Vinnytska,49.23,28.47
1879,Volyn,UKR,Volynska,Lutska,50.75,25.33
1880,Zakarpattya,UKR,Zakarpatska,Uzhhorodska,48.62,22.29
1881,Zaporizhzhya,UKR,Zaporizka,Zaporizka,47.84,35.14
1882,Zhytomyr,UKR,Zhytomyrska,Zhytomyrska,50.25,28.66
1883,Crimea,UKR,Avtonomna Respublika Krym,Simferopolska,44.95,34.1
1884,Kyiv,UKR,Kyivska,Kyivska,50.45,30.52
7958,Izium,UKR,Kharkivska,Iziumska,49.21,37.25
7959,Kupiansk,UKR,Kharkivska,Kupianska,49.72,37.58
7960,Balakliia,UKR,Kharkivska,Balakliiskyi,49.46,36.86
7961,Chuhuiv,UKR,Kharkivska,Chuhuivska,49.83,36.69
7962,Liubotyn,UKR,Kharkivska,Liubotynska,49.95,35.93
7963,Lozova,UKR,Kharkivska,Blyzniukivskyi,48.88,36.38
7964,Pervomaiskyi,UKR,Kharkivska,Pervomaiska,49.38,36.22
7965,Vovchansk,UKR,Kharkivska,Vovchanskyi,50.3,36.94
7966,Bohodukhiv,UKR,Kharkivska,Bohodukhivskyi,50.16,35.51
7967,Derhachi,UKR,Kharkivska,Derhachivskyi,50.12,36.12
8000,Izium peski,UKR,Kharkivska,Iziumska,49.22,37.27
8001,Izium railway,UKR,Kharkivska,Iziumska,49.22,37.3
8002,Izium left bank,UKR,Kharkivska,Iziumska,49.2,37.28
8004,Siversk,UKR,Donetska,Bakhmutskyi,48.87,38.1
8005,Soledar,UKR,Donetska,Bakhmutskyi,48.68,38.1
8006,Lyman,UKR,Luhanska,Troitskyi,49.65,38.35
8007,Sviatohirsk,UKR,Donetska,Slovianska,49.03,37.57
8008,Marhanets,UKR,Dnipropetrovska,Marhanetska,47.64,34.63
8009,Ocheretino,UKR,Donetska,Yasynuvatskyi,48.25,37.6
8010,Avdiivka,UKR,Donetska,Avdiivska,48.14,37.74
8011,Orikhiv,UKR,Zaporizka,Orikhivskyi,47.57,35.79
8012,Zelenodolsk,UKR,Dnipropetrovska,Apostolivskyi,47.56,33.65
8013,Nikopol,UKR,Dnipropetrovska,Nikopolska,47.57,34.4
8014,Huliaipole,UKR,Zaporizka,Huliaipilskyi,47.65,36.27
8015,Sloviansk,UKR,Donetska,Slovianska,48.87,37.62
8016,Apostolove,UKR,Dnipropetrovska,Apostolivskyi,47.67,33.73
8017,Bakhmut,UKR,Donetska,Bakhmutska,48.6,38
8018,Vuhledar,UKR,Donetska,Vuhledarska,47.78,37.25
8122,Kupiansk Left Bank ,UKR,Kharkivska,Kupianska,49.71,37.63
8123,Kupiansk Right Bank,UKR,Kharkivska,Kupianska,49.72,37.6
8194,Pisky-Rad'kivs'ki ,UKR,Kharkivska,Borivskyi,49.27,37.61
8195,Borova,UKR,Kharkivska,Borivskyi,49.38,37.63
8196,Shyikivka,UKR,Kharkivska,Borivskyi,49.35,37.75
8197,Pidlyman,UKR,Kharkivska,Borivskyi,49.34,37.6
8198,Bilozerka,UKR,Khersonska,Bilozerskyi,46.63,32.44
8314,Oskil,UKR,Kharkivska,Iziumskyi,49.19,37.43
8315,Kushuhum,UKR,Zaporizka,Zaporizkyi,47.71,35.22
8316,Druzhkivka,UKR,Donetska,Druzhkivska,48.62,37.53
8317,Kostiantynivka,UKR,Donetska,Kostiantynivska,48.53,37.71
8318,Lyptsi,UKR,Kharkivska,Kharkivskyi,50.21,36.41
8319,Tsirkuny,UKR,Kharkivska,Kharkivskyi,50.08,36.38
8320,Bilenke,UKR,Zaporizka,Zaporizkyi,47.63,35.03
8321,Dolynske,UKR,Zaporizka,Zaporizkyi,47.79,34.94
8322,Novomykolaivka,UKR,Zaporizka,Novomykolaivskyi,47.98,35.91
8323,Kramatorsk,UKR,Donetska,Kramatorska,48.75,37.58
8324,Pokrovskyi,UKR,Dnipropetrovska,Ordzhonikidzevska,47.66,34.07
8325,Zolochiv,UKR,Kharkivska,Zolochivskyi,50.28,35.98
8326,Shevchenkove,UKR,Kharkivska,Shevchenkivskyi,49.69,37.18
8327,Malynivka,UKR,Zaporizka,Huliaipilskyi,47.68,36.47
8328,Stepne,UKR,Zaporizka,Zaporizkyi,47.8,35.31
8329,Komyshuvakha,UKR,Zaporizka,Orikhivskyi,47.72,35.53
8330,Myrnohrad,UKR,Donetska,Dymytrivska,48.3,37.27
8331,Vilhuvatka,UKR,Kharkivska,Novovodolazkyi,49.8,35.94
8332,Pokrov,UKR,Dnipropetrovska,Pokrovskyi,47.99,36.23
8333,Stepnohirsk,UKR,Zaporizka,Vasylivskyi,47.59,35.36
8334,Tavriiske,UKR,Zaporizka,Orikhivskyi,47.67,35.7
8335,Vozdvyzhivka,UKR,Zaporizka,Huliaipilskyi,47.75,36.08
8336,Yampil,UKR,Donetska,Lymanska,48.94,37.95
8337,Velikiy Burluk,UKR,Kharkivska,Velykoburlutskyi,50.06,37.38
8338,Dvorichna,UKR,Kharkivska,Dvorichanskyi,49.86,37.67
8339,Kindrashivka,UKR,Kharkivska,Kupianskyi,49.77,37.58
8340,Kurylivka,UKR,Kharkivska,Kupianskyi,49.66,37.7
8341,Petropavlivka,UKR,Kharkivska,Kupianskyi,49.73,37.71
8342,Toretsk,UKR,Donetska,Toretska,48.4,37.86
8343,Kurakhove,UKR,Donetska,Marinskyi,47.99,37.29
8344,Selydove,UKR,Donetska,Selydivska,48.2,37.29
8345,Velyka Novosilka,UKR,Donetska,Velykonovosilkivskyi,47.84,36.85
8409,Amvrosiivka,UKR,Donetska,Amvrosiivskyi,47.79,38.49
8410,Bilytske,UKR,Donetska,Dobropilska,48.4,37.17
8411,Bilozerske,UKR,Donetska,Dobropilska,48.53,37.06
8412,Bunhe,UKR,Donetska,Yenakiivska,48.22,38.28
8413,Volnovakha,UKR,Donetska,Volnovaskyi,47.59,37.5
8414,Vuhlehirsk,UKR,Donetska,Bakhmutskyi,48.31,38.27
8415,Hirnyk,UKR,Donetska,Selydivska,48.06,37.37
8416,Horlivka,UKR,Donetska,Kostiantynivskyi,48.38,37.97
8417,Debaltseve,UKR,Donetska,Debaltsevcka,48.33,38.41
8418,Dobropilla,UKR,Donetska,Dobropilska,48.47,37.08
8419,Dokuchaievsk,UKR,Donetska,Dokuchaievska,47.75,37.68
8420,Zhdanivka,UKR,Donetska,Druzhkivska,48.15,38.26
8421,Zalizne,UKR,Donetska,Toretska,48.37,37.88
8422,Zuhres,UKR,Donetska,Khartsyzka,48.01,38.28
8423,Ilovaisk,UKR,Donetska,Khartsyzka,47.93,38.21
8424,Krasnohorivka,UKR,Donetska,Marinskyi,48,37.52
8425,Makiivka,UKR,Donetska,Donetska,47.97,37.94
8426,Maryinka,UKR,Donetska,Donetska,47.94,37.53
8427,Mariupol,UKR,Donetska,Mariupolska,47.13,37.56
8428,Mykolaivka,UKR,Donetska,Pokrovskyi,48.18,37.39
8429,Mospyne,UKR,Donetska,Donetska,47.88,38.07
