title,url,category,description,datetime,title_len
Реформа ЗСУ,https://www.rbc.ua/rus/news/reforma-zsu-kih-zmin-armiyi-chekati-vzhe-1777644218.html,,,,11
"У Путіна заявили, що вихід на мирну угоду з Україною ""займе багато часу""",https://www.rbc.ua/rus/news/putina-zayavili-shcho-vihid-mirnu-ugodu-ukrayinoyu-1778325455.html,,,14:19,72
"Борги теплокомуненерго перед ""Нафтогазом"" перевищили 150 млрд грн, - Свириденко",https://www.rbc.ua/rus/news/borgi-teplokomunenergo-pered-naftogazom-perevishchili-1778323211.html,,,13:40,79
"Навколо Москви будують ще одне ""кільце"" ППО, - ЗМІ",https://www.rbc.ua/rus/news/navkolo-moskvi-buduyut-shche-odne-kiltse-1778322699.html,,,13:39,50
Польща запропонувала США розмістити додаткові війська біля кордонів РФ,https://www.rbc.ua/rus/news/polshcha-zaproponuvala-ssha-rozmistiti-dodatkovi-1778320584.html,,,12:56,70
"РФ перекинула танкову дивізію у Покровськ, а у Гришиному тривають стрілецькі бої, - ДШВ",https://www.rbc.ua/rus/news/rf-perekinula-tankovu-diviziyu-pokrovsk-grishinomu-1778316872.html,,,12:10,87
"Україна випробувала ШІ-турель для перехоплення російських дронів, - Федоров",https://www.rbc.ua/rus/news/ukrayina-viprobuvala-shi-turel-perehoplennya-1778316711.html,,,11:51,75
Трамп готовий відправити делегацію до Москви для переговорів щодо України,https://www.rbc.ua/rus/news/tramp-gotoviy-vidpraviti-delegatsiyu-moskvi-1778313351.html,,,11:01,73
Кілер РФ планував вбивство топ-посадовця ВМС України до 9 травня,https://www.rbc.ua/rus/news/kiler-rf-planuvav-vbivstvo-top-posadovtsya-1778312598.html,,,10:49,64
Українські дрони дісталися Маріуполя: ISW оцінив нову тактику ЗСУ,https://www.rbc.ua/rus/news/ukrayinski-droni-distalisya-mariupolya-isw-1778309599.html,,,10:09,65
